carat,cut,clarity,table,x,y,z,E,F,G,H,I,J,price
0.3,5,6,58.0,4.27,4.29,2.66,1,0,0,0,0,0,499
0.33,4,1,58.0,4.42,4.46,2.7,0,0,1,0,0,0,984
0.9,3,3,60.0,6.04,6.12,3.78,1,0,0,0,0,0,6289
0.42,5,4,56.0,4.82,4.8,2.96,0,1,0,0,0,0,1082
0.31,5,2,59.0,4.35,4.43,2.65,0,1,0,0,0,0,779
1.02,5,5,56.0,6.46,6.49,3.99,0,0,0,0,0,0,9502
1.01,2,6,60.0,6.35,6.3,4.03,0,0,0,1,0,0,4836
0.5,4,6,62.0,5.09,5.06,3.12,1,0,0,0,0,0,1415
1.21,2,6,64.0,6.72,6.63,4.26,0,0,0,1,0,0,5407
0.35,5,5,57.0,4.52,4.6,2.76,0,1,0,0,0,0,706
0.32,5,5,56.0,4.4,4.43,2.72,1,0,0,0,0,0,637
1.1,4,6,55.0,6.74,6.71,4.08,0,0,0,0,0,0,6468
0.5,2,4,58.2,5.08,5.12,3.11,1,0,0,0,0,0,1932
0.71,5,7,55.0,5.74,5.76,3.54,0,0,0,0,0,0,2767
1.5,1,5,53.0,7.12,7.08,4.7,0,0,1,0,0,0,10644
0.31,5,5,55.0,4.37,4.39,2.7,0,0,1,0,0,0,544
0.34,5,6,57.0,4.56,4.53,2.78,0,0,1,0,0,0,650
1.01,5,5,56.0,6.52,6.49,3.89,0,0,0,0,0,0,7127
0.9,2,6,64.0,6.0,6.09,3.74,0,0,0,0,0,0,3567
0.54,4,5,59.0,5.42,5.22,3.19,0,0,1,0,0,0,1637
1.04,4,3,60.0,6.54,6.51,3.99,0,0,0,0,0,0,10984
0.4,5,5,57.0,4.72,4.69,2.96,0,1,0,0,0,0,1080
1.52,5,7,56.0,7.35,7.28,4.59,0,0,0,0,0,0,8631
1.19,5,7,56.0,6.8,6.85,4.21,0,0,0,0,0,1,4508
0.66,5,6,58.0,5.53,5.56,3.46,0,0,0,1,0,0,1609
1.5,4,7,62.0,7.4,7.25,4.49,0,0,0,1,0,0,7187
0.52,5,5,56.0,5.18,5.2,3.19,1,0,0,0,0,0,1576
0.31,5,6,56.0,4.38,4.35,2.7,0,0,0,1,0,0,595
0.71,2,7,58.0,5.65,5.59,3.6,0,1,0,0,0,0,1818
1.19,5,6,55.0,6.76,6.81,4.23,0,0,1,0,0,0,6335
0.72,3,3,59.0,5.7,5.72,3.6,0,0,0,0,0,1,2144
0.3,5,6,55.0,4.3,4.32,2.69,0,0,0,1,0,0,450
0.77,4,4,56.0,5.95,5.9,3.6,1,0,0,0,0,0,3260
0.35,3,4,56.0,4.61,4.64,2.77,0,0,0,0,0,0,846
1.21,4,3,60.0,6.82,6.85,4.22,0,0,0,0,0,1,5431
1.01,3,6,56.0,6.35,6.43,4.01,0,0,1,0,0,0,5049
0.51,4,6,58.0,5.16,5.11,3.15,0,0,0,0,1,0,1084
1.26,5,6,56.0,6.9,6.93,4.29,0,0,0,0,0,1,5301
1.55,2,5,61.0,7.42,7.47,4.54,0,0,0,1,0,0,11364
0.9,2,7,59.0,6.05,6.02,3.85,0,0,1,0,0,0,3246
1.58,4,7,60.0,7.42,7.38,4.61,0,1,0,0,0,0,9290
0.43,4,6,60.0,4.88,4.84,2.94,0,1,0,0,0,0,1016
0.3,5,2,54.0,4.32,4.34,2.67,0,0,1,0,0,0,764
2.0,2,6,57.0,8.01,7.91,5.09,0,0,0,0,1,0,12554
1.01,4,8,57.0,6.42,6.3,3.99,0,1,0,0,0,0,2257
0.43,4,4,58.0,4.85,4.78,3.01,0,1,0,0,0,0,1129
0.52,5,3,55.0,5.21,5.23,3.22,0,0,1,0,0,0,2338
0.73,3,7,58.0,5.75,5.81,3.59,1,0,0,0,0,0,2395
0.52,5,5,55.0,5.16,5.19,3.2,0,0,0,0,0,0,1822
0.5,4,7,62.0,5.21,5.18,3.01,0,1,0,0,0,0,1031
1.14,4,5,60.0,6.71,6.68,4.11,0,0,1,0,0,0,7079
0.78,4,6,58.0,5.83,5.8,3.63,0,1,0,0,0,0,2777
0.43,5,4,56.0,4.82,4.85,3.01,0,0,1,0,0,0,943
